Sample	Top over-represented sequence	Sum of remaining over-represented sequences
C001_S1_L001_R1_001	1.629181295999765	87.70328039840757
C001_S1_L001_R2_001	1.6945542154515139	86.38480410159977
C002_S2_L001_R1_001	1.5713594105145687	89.28849830555762
C002_S2_L001_R2_001	1.564794984778738	88.71903437297419
C003_S3_L001_R1_001	1.6724745535802177	89.50150611304713
C003_S3_L001_R2_001	1.6429429252062293	87.92747032071355
C004_S4_L001_R1_001	1.6103280272453797	89.32729403219292
C004_S4_L001_R2_001	1.6219772087190696	87.86360864232213
C005_S5_L001_R1_001	1.5476948801656183	89.44880165618281
C005_S5_L001_R2_001	1.5417230671231785	88.53810016721083
C006_S6_L001_R1_001	1.4134829347792022	82.43645595010503
C006_S6_L001_R2_001	1.4448240198075657	80.84850764200122
C007_S7_L001_R1_001	1.5191374916321185	88.97318754624355
C007_S7_L001_R2_001	1.5361668643639823	88.50634784549074
C008_S8_L001_R1_001	1.5815520862161592	89.34019242352704
C008_S8_L001_R2_001	1.575854266039364	88.00039070766927
C009_S9_L001_R1_001	1.6065890137156247	89.30876759879447
C009_S9_L001_R2_001	1.6120401756903238	88.18520166166452
C010_S10_L001_R1_001	1.645486468732513	89.44990957528773
C010_S10_L001_R2_001	1.625211869561339	88.17017687560312
C011_S11_L001_R1_001	1.6022562383764891	89.53628579019437
C011_S11_L001_R2_001	1.5726226727432506	87.46704543132171
C012_S12_L001_R1_001	1.315737609283479	72.33403495494642
C012_S12_L001_R2_001	1.3244093370858265	71.46765051360279
C013_S13_L001_R1_001	1.1664268365035713	64.2150997944781
C013_S13_L001_R2_001	1.1256174670656915	63.37039501502896
C014_S14_L001_R1_001	1.5998400959424346	89.64141515090945
C014_S14_L001_R2_001	1.5894463322006798	87.66260243853685
C016_S15_L001_R1_001	2.9760358019344593	88.36004042153893
C016_S15_L001_R2_001	3.018622780424426	87.08964919878736
C017_S16_L001_R1_001	1.7951718969712789	89.31064388740603
C017_S16_L001_R2_001	1.684026169766678	88.22360499482161
C018_S17_L001_R1_001	1.5624000852605777	89.5228960176205
C018_S17_L001_R2_001	1.570926143024619	88.32995843546843
C020_S18_L001_R1_001	1.5684517140936591	89.4283553663455
C020_S18_L001_R2_001	1.5733531257002016	88.79117185749497
C021_S19_L001_R1_001	1.6326066147677603	89.20230532889757
C021_S19_L001_R2_001	1.6372922426084222	88.36960232407142
C022_S20_L001_R1_001	1.5659169009684473	89.86514630844526
C022_S20_L001_R2_001	1.6791627616369886	88.10267624700616
C023_S21_L001_R1_001	1.6892587348025976	88.9112764882383
C023_S21_L001_R2_001	1.6992395840481078	88.0198618899986
C026_S22_L001_R1_001	1.7213185299939753	89.56020311558657
C026_S22_L001_R2_001	1.6775031492304926	87.97189556291028
C027_S23_L001_R1_001	1.5735330611139937	89.71394409727702
C027_S23_L001_R2_001	1.5836848873147291	88.84201502470277
C028_S24_L001_R1_001	1.4617751362305231	89.29431971234047
C028_S24_L001_R2_001	1.5507420084271397	87.93139665632839
C029_S25_L001_R1_001	1.5941354433325574	89.3715177483606
C029_S25_L001_R2_001	1.5872907226656081	88.18190529644488
C030_S26_L001_R1_001	1.6110235703499443	89.27598319217385
C030_S26_L001_R2_001	1.6102028757140043	87.60833169194409
C031_S27_L001_R1_001	1.5897001002235758	89.86122889522781
C031_S27_L001_R2_001	1.5958677048801173	88.54444530105626
C032_S28_L001_R1_001	1.6633930259124419	89.93581472563056
C032_S28_L001_R2_001	1.791599207751543	87.98477962507911
C033_S29_L001_R1_001	1.5506915420741954	89.86987806454393
C033_S29_L001_R2_001	1.5300099099487268	88.76944288853466
C034_S30_L001_R1_001	1.6031801860016195	89.50244157798734
C034_S30_L001_R2_001	1.604816084150601	88.89306951749182
C035_S31_L001_R1_001	1.6956782713085232	89.49865660549935
C035_S31_L001_R2_001	1.6913908420511061	88.65546218487387
C036_S32_L001_R1_001	1.7036155870372371	89.22677625175734
C036_S32_L001_R2_001	1.6754983598284128	88.1085757542987
C037_S33_L001_R1_001	1.555929681688266	89.63000665596486
C037_S33_L001_R2_001	1.5770721584902705	88.67467992639288
C038_S34_L001_R1_001	1.608244043350884	89.52490217369035
C038_S34_L001_R2_001	1.60312224703448	88.39503390629157
C039_S35_L001_R1_001	1.7302704129972197	90.0851156361151
C039_S35_L001_R2_001	1.7923986145411055	88.10710901946167
C040_S36_L001_R1_001	1.6081891406067756	89.8308108182279
C040_S36_L001_R2_001	1.5924091277083305	88.19655035196287
C041_S37_L001_R1_001	1.6123809104974673	89.17230047136054
C041_S37_L001_R2_001	1.6407664906227637	88.23277774890357
C042_S38_L001_R1_001	1.5972746914807596	89.5766227913203
C042_S38_L001_R2_001	1.6264365530679603	88.71833618324254
C043_S39_L001_R1_001	1.624799340535381	89.32166254501277
C043_S39_L001_R2_001	1.5900906763850926	88.28257191201354
C044_S40_L001_R1_001	1.5606257342484389	89.87571879057691
C044_S40_L001_R2_001	1.5680455079453408	89.01626167068574
C045_S41_L001_R1_001	1.2433134250843936	58.56349000259674
C045_S41_L001_R2_001	1.221500908854843	57.86237340950403
C046_S42_L001_R1_001	1.618105538662869	89.65628728686356
C046_S42_L001_R2_001	1.6242638851468383	88.73561448751009
C047_S43_L001_R1_001	1.592618673124889	89.88884574632613
C047_S43_L001_R2_001	1.5880119248968416	88.97868391784192
C048_S44_L001_R1_001	1.690805107665753	89.18601895014491
C048_S44_L001_R2_001	1.6810808511155546	88.31509022286781
C049_S45_L001_R1_001	14.696776543434712	76.79839737752695
C049_S45_L001_R2_001	14.751411400473502	74.12128938262617
C050_S46_L001_R1_001	1.5576432787343275	88.76034645339294
C050_S46_L001_R2_001	1.5358153179897323	87.66370970558445
C051_S47_L001_R1_001	1.6136676171016138	89.64051805178967
C051_S47_L001_R2_001	1.6525137321016525	88.41531158468835
C052_S48_L001_R1_001	1.5394317085837228	89.56617701609905
C052_S48_L001_R2_001	1.5885822390385045	88.10835373544033
C053_S49_L001_R1_001	1.6615128782429163	89.88985528909478
C053_S49_L001_R2_001	1.6596444353098345	88.7174073485861
C054_S50_L001_R1_001	1.7452295679936478	89.4657612426697
C054_S50_L001_R2_001	1.6079271470045742	88.50299004971012
C055_S51_L001_R1_001	1.5878191372394392	88.05647601210202
C055_S51_L001_R2_001	1.6598548669613813	87.40512136124781
C056_S52_L001_R1_001	1.5916766955238946	89.61625063084746
C056_S52_L001_R2_001	1.6402034240459644	88.08959975154313
C057_S53_L001_R1_001	1.6229625898818008	88.47262556661705
C057_S53_L001_R2_001	1.6502888005400944	87.05112680433363
C058_S54_L001_R1_001	1.6054161714157216	89.57884930450707
C058_S54_L001_R2_001	1.550001606219281	88.39586880400913
C059_S55_L001_R1_001	1.730251233056753	90.00700477335589
C059_S55_L001_R2_001	1.7490269142168013	88.47534247564583
C060_S56_L001_R1_001	1.8239596330022267	89.56772294563277
C060_S56_L001_R2_001	1.8370568488098766	89.33817700542508
C061_S57_L001_R1_001	1.5857149347994002	89.61106819937305
C061_S57_L001_R2_001	1.665227861329456	88.55127447862246
C062_S58_L001_R1_001	1.6191318103568604	89.75015121202254
C062_S58_L001_R2_001	1.5276291505761566	88.41018005862372
C063_S59_L001_R1_001	1.6672970247100354	89.4320474029249
C063_S59_L001_R2_001	1.70196671709531	87.82778618255163
C064_S60_L001_R1_001	1.5192423937134798	83.52810799919398
C064_S60_L001_R2_001	1.5031231110215597	83.15635704211165
C066_S61_L001_R1_001	1.7999882016340736	89.36893490251603
C066_S61_L001_R2_001	1.8538182461729051	87.66185883255169
C067_S62_L001_R1_001	1.7283117054212502	89.37981687635856
C067_S62_L001_R2_001	1.6986693893682892	88.04591265397532
C068_S63_L001_R1_001	1.6533183176887087	89.46189280986238
C068_S63_L001_R2_001	1.6766804243517015	88.85387900824863
C069_S64_L001_R1_001	1.6103583142876268	89.42269993210479
C069_S64_L001_R2_001	1.588364109282511	88.19676207051526
C070_S65_L001_R1_001	1.6260324807469775	89.08164079645665
C070_S65_L001_R2_001	1.6719205139459719	87.58828458561108
C071_S66_L001_R1_001	1.5699523052464228	89.70836645469
