Sample	Unique Reads	Duplicate Reads
C001_S1_L001_R1_001	8410.0	127732.0
C001_S1_L001_R2_001	9989.0	126153.0
C002_S2_L001_R1_001	5964.0	115905.0
C002_S2_L001_R2_001	7065.0	114804.0
C003_S3_L001_R1_001	5075.0	96511.0
C003_S3_L001_R2_001	6505.0	95081.0
C004_S4_L001_R1_001	6687.0	139246.0
C004_S4_L001_R2_001	8852.0	137081.0
C005_S5_L001_R1_001	5107.0	95365.0
C005_S5_L001_R2_001	6100.0	94372.0
C006_S6_L001_R1_001	11508.0	84213.0
C006_S6_L001_R2_001	13120.0	82601.0
C007_S7_L001_R1_001	7553.0	162741.0
C007_S7_L001_R2_001	8925.0	161369.0
C008_S8_L001_R1_001	6001.0	116853.0
C008_S8_L001_R2_001	7489.0	115365.0
C009_S9_L001_R1_001	30626.0	1565364.0
C009_S9_L001_R2_001	47936.0	1548054.0
C010_S10_L001_R1_001	5873.0	117434.0
C010_S10_L001_R2_001	7484.0	115823.0
C011_S11_L001_R1_001	5042.0	92820.0
C011_S11_L001_R2_001	6796.0	91066.0
C012_S12_L001_R1_001	28495.0	98354.0
C012_S12_L001_R2_001	29203.0	97646.0
C013_S13_L001_R1_001	164757.0	445397.0
C013_S13_L001_R2_001	169823.0	440331.0
C014_S14_L001_R1_001	5776.0	119299.0
C014_S14_L001_R2_001	8349.0	116726.0
C016_S15_L001_R1_001	5489.0	133051.0
C016_S15_L001_R2_001	7499.0	131041.0
C017_S16_L001_R1_001	5728.0	113035.0
C017_S16_L001_R2_001	7052.0	111711.0
C018_S17_L001_R1_001	6382.0	134363.0
C018_S17_L001_R2_001	8151.0	132594.0
C020_S18_L001_R1_001	10762.0	274870.0
C020_S18_L001_R2_001	13033.0	272599.0
C021_S19_L001_R1_001	7030.0	142363.0
C021_S19_L001_R2_001	8616.0	140777.0
C022_S20_L001_R1_001	6617.0	147031.0
C022_S20_L001_R2_001	8593.0	145055.0
C023_S21_L001_R1_001	7024.0	153283.0
C023_S21_L001_R2_001	8482.0	151825.0
C026_S22_L001_R1_001	5900.0	121909.0
C026_S22_L001_R2_001	7971.0	119838.0
C027_S23_L001_R1_001	4631.0	84023.0
C027_S23_L001_R2_001	5461.0	83193.0
C028_S24_L001_R1_001	4742.0	76187.0
C028_S24_L001_R2_001	5666.0	75263.0
C029_S25_L001_R1_001	6644.0	139454.0
C029_S25_L001_R2_001	8251.0	137847.0
C030_S26_L001_R1_001	5934.0	115914.0
C030_S26_L001_R2_001	7709.0	114139.0
C031_S27_L001_R1_001	5873.0	123837.0
C031_S27_L001_R2_001	7281.0	122429.0
C032_S28_L001_R1_001	5672.0	116007.0
C032_S28_L001_R2_001	7498.0	114181.0
C033_S29_L001_R1_001	8721.0	223369.0
C033_S29_L001_R2_001	10981.0	221109.0
C034_S30_L001_R1_001	5919.0	116338.0
C034_S30_L001_R2_001	6688.0	115569.0
C035_S31_L001_R1_001	6430.0	133514.0
C035_S31_L001_R2_001	7555.0	132389.0
C036_S32_L001_R1_001	6149.0	132556.0
C036_S32_L001_R2_001	8030.0	130675.0
C037_S33_L001_R1_001	5831.0	121874.0
C037_S33_L001_R2_001	6838.0	120867.0
C038_S34_L001_R1_001	4966.0	92656.0
C038_S34_L001_R2_001	6134.0	91488.0
C039_S35_L001_R1_001	5601.0	123165.0
C039_S35_L001_R2_001	7947.0	120819.0
C040_S36_L001_R1_001	6497.0	139257.0
C040_S36_L001_R2_001	8632.0	137122.0
C041_S37_L001_R1_001	9830.0	240297.0
C041_S37_L001_R2_001	12126.0	238001.0
C042_S38_L001_R1_001	6746.0	144136.0
C042_S38_L001_R2_001	8255.0	142627.0
C043_S39_L001_R1_001	5056.0	87140.0
C043_S39_L001_R2_001	6001.0	86195.0
C044_S40_L001_R1_001	4170.0	76695.0
C044_S40_L001_R2_001	4880.0	75985.0
C045_S41_L001_R1_001	34858.0	61417.0
C045_S41_L001_R2_001	35778.0	60497.0
C046_S42_L001_R1_001	5893.0	124012.0
C046_S42_L001_R2_001	7131.0	122774.0
C047_S43_L001_R1_001	6541.0	145410.0
C047_S43_L001_R2_001	7781.0	144170.0
C048_S44_L001_R1_001	7151.0	157386.0
C048_S44_L001_R2_001	9006.0	155531.0
C049_S45_L001_R1_001	418.0	5073.0
C049_S45_L001_R2_001	580.0	4911.0
C050_S46_L001_R1_001	6239.0	108293.0
C050_S46_L001_R2_001	7902.0	106630.0
C051_S47_L001_R1_001	5924.0	122789.0
C051_S47_L001_R2_001	7582.0	121131.0
C052_S48_L001_R1_001	5387.0	102445.0
C052_S48_L001_R2_001	6847.0	100985.0
C053_S49_L001_R1_001	8461.0	205621.0
C053_S49_L001_R2_001	10724.0	203358.0
C054_S50_L001_R1_001	5782.0	115119.0
C054_S50_L001_R2_001	6936.0	113965.0
C055_S51_L001_R1_001	8342.0	123537.0
C055_S51_L001_R2_001	9256.0	122623.0
C056_S52_L001_R1_001	4926.0	98110.0
C056_S52_L001_R2_001	6427.0	96609.0
C057_S53_L001_R1_001	9226.0	177408.0
C057_S53_L001_R2_001	12069.0	174565.0
C058_S54_L001_R1_001	5896.0	118620.0
C058_S54_L001_R2_001	7433.0	117083.0
C059_S55_L001_R1_001	6132.0	132345.0
C059_S55_L001_R2_001	7925.0	130552.0
C060_S56_L001_R1_001	6598.0	138471.0
C060_S56_L001_R2_001	7498.0	137571.0
C061_S57_L001_R1_001	4562.0	83474.0
C061_S57_L001_R2_001	5463.0	82573.0
C062_S58_L001_R1_001	3502.0	60977.0
C062_S58_L001_R2_001	4495.0	59984.0
C063_S59_L001_R1_001	2132.0	29596.0
C063_S59_L001_R2_001	2638.0	29090.0
C064_S60_L001_R1_001	10829.0	88431.0
C064_S60_L001_R2_001	11545.0	87715.0
C066_S61_L001_R1_001	6121.0	129491.0
C066_S61_L001_R2_001	7976.0	127636.0
C067_S62_L001_R1_001	5548.0	115900.0
C067_S62_L001_R2_001	7053.0	114395.0
C068_S63_L001_R1_001	7016.0	159921.0
C068_S63_L001_R2_001	8420.0	158517.0
C069_S64_L001_R1_001	5220.0	99353.0
C069_S64_L001_R2_001	6409.0	98164.0
C070_S65_L001_R1_001	5560.0	94684.0
C070_S65_L001_R2_001	6886.0	93358.0
C071_S66_L001_R1_001	5694.0	115074.0
C071_S66_L001_R2_001	7305.0	113463.0
C072_S67_L001_R1_001	6572.0	144306.0
C072_S67_L001_R2_001	9107.0	141771.0
C073_S68_L001_R1_001	523.0	5445.0
C073_S68_L001_R2_001	4440.0	1528.0
C074_S69_L001_R1_001	6905.0	145071.0
C074_S69_L001_R2_001	8488.0	143488.0
C075_S70_L001_R1_001	5197.0	102065.0
C075_S70_L001_R2_001	6658.0	100604.0
