Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
C001_S1_L001_R1_001	C001_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136142.0	0.0	35-151	35.0	6.176639097412996	145.46043102055208	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
C001_S1_L001_R2_001	C001_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136142.0	0.0	35-151	35.0	7.337192049477752	145.4793010239309	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
C002_S2_L001_R1_001	C002_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121869.0	0.0	35-151	35.0	4.893779386062083	146.005653611665	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
C002_S2_L001_R2_001	C002_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121869.0	0.0	35-151	35.0	5.797208477955838	145.97863279422987	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
C003_S3_L001_R1_001	C003_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101586.0	0.0	35-151	35.0	4.994782745653929	145.94562242828735	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
C003_S3_L001_R2_001	C003_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101586.0	0.0	35-151	35.0	6.402457031480716	145.89692477309865	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
C004_S4_L001_R1_001	C004_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145933.0	0.0	35-151	35.0	4.582239794974406	145.95086786401978	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
C004_S4_L001_R2_001	C004_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145933.0	0.0	35-151	35.0	6.065797317947277	145.89331405508008	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
C005_S5_L001_R1_001	C005_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100472.0	0.0	35-151	36.0	5.083008201289911	145.9108706903416	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
C005_S5_L001_R2_001	C005_S5_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100472.0	0.0	35-151	36.0	6.07134325981368	145.8938709292141	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
