Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C001_S1_L001_R1_001	93.823360902587	35.0	145.46043102055208	36.36363636363637	136142.0
C001_S1_L001_R2_001	92.66280795052225	35.0	145.4793010239309	36.36363636363637	136142.0
C002_S2_L001_R1_001	95.10622061393792	35.0	146.005653611665	36.36363636363637	121869.0
C002_S2_L001_R2_001	94.20279152204417	35.0	145.97863279422987	36.36363636363637	121869.0
C003_S3_L001_R1_001	95.00521725434606	35.0	145.94562242828735	36.36363636363637	101586.0
C003_S3_L001_R2_001	93.59754296851928	35.0	145.89692477309865	36.36363636363637	101586.0
C004_S4_L001_R1_001	95.41776020502559	35.0	145.95086786401978	36.36363636363637	145933.0
C004_S4_L001_R2_001	93.93420268205273	35.0	145.89331405508008	36.36363636363637	145933.0
C005_S5_L001_R1_001	94.91699179871009	36.0	145.9108706903416	36.36363636363637	100472.0
C005_S5_L001_R2_001	93.92865674018633	36.0	145.8938709292141	36.36363636363637	100472.0
C006_S6_L001_R1_001	87.97755978311969	36.0	143.3521484313787	36.36363636363637	95721.0
C006_S6_L001_R2_001	86.29349881426228	36.0	143.3170673102036	36.36363636363637	95721.0
C007_S7_L001_R1_001	95.56472923297356	36.0	146.20190963862495	36.36363636363637	170294.0
C007_S7_L001_R2_001	94.75906373683159	36.0	146.1869472794109	36.36363636363637	170294.0
C008_S8_L001_R1_001	95.11534015986456	35.0	145.85546258160093	36.36363636363637	122854.0
C008_S8_L001_R2_001	93.90414638514008	35.0	145.80786136389534	36.36363636363637	122854.0
C009_S9_L001_R1_001	98.08106567083753	35.0	146.06306179863282	36.36363636363637	1595990.0
C009_S9_L001_R2_001	96.996472408975	35.0	146.01907656063008	36.36363636363637	1595990.0
C010_S10_L001_R1_001	95.23709116270771	35.0	145.84584816758172	36.36363636363637	123307.0
C010_S10_L001_R2_001	93.93140697608408	35.0	145.8028984566975	36.36363636363637	123307.0
C011_S11_L001_R1_001	94.84784696817968	35.0	146.12551347816313	36.36363636363637	97862.0
C011_S11_L001_R2_001	93.05552717091415	35.0	146.10943982342482	36.36363636363637	97862.0
C012_S12_L001_R1_001	77.53628329746391	37.0	139.5868315871627	36.36363636363637	126849.0
C012_S12_L001_R2_001	76.97813936254917	37.0	139.51604663812878	36.36363636363637	126849.0
C013_S13_L001_R1_001	72.9975712984365	37.0	137.30906623573722	36.36363636363637	610154.0
C013_S13_L001_R2_001	72.1673271083354	37.0	137.3060948547416	36.36363636363637	610154.0
C014_S14_L001_R1_001	95.3819708175095	35.0	146.45830901459124	36.36363636363637	125075.0
C014_S14_L001_R2_001	93.32560463721767	35.0	146.43153308015192	36.36363636363637	125075.0
C016_S15_L001_R1_001	96.0379673740436	35.0	146.4176627688754	36.36363636363637	138540.0
C016_S15_L001_R2_001	94.58712285260575	35.0	146.3308791684712	36.36363636363637	138540.0
C017_S16_L001_R1_001	95.17694904978823	35.0	145.64741544083594	36.36363636363637	118763.0
C017_S16_L001_R2_001	94.0621237254027	35.0	145.59393918981502	36.36363636363637	118763.0
C018_S17_L001_R1_001	95.46555827915734	35.0	145.96047461721554	36.36363636363637	140745.0
C018_S17_L001_R2_001	94.20867526377491	35.0	145.94413300650112	36.36363636363637	140745.0
C020_S18_L001_R1_001	96.23221487788483	35.0	146.14966810441408	36.36363636363637	285632.0
C020_S18_L001_R2_001	95.4371358951378	35.0	146.13681240197178	36.36363636363637	285632.0
C021_S19_L001_R1_001	95.29429089716386	35.0	145.896521256016	36.36363636363637	149393.0
C021_S19_L001_R2_001	94.23266150355104	35.0	145.85149906622132	36.36363636363637	149393.0
C022_S20_L001_R1_001	95.69340310319691	35.0	145.93026918671248	36.36363636363637	153648.0
C022_S20_L001_R2_001	94.4073466625013	35.0	145.84640867437258	36.36363636363637	153648.0
C023_S21_L001_R1_001	95.61840718122103	35.0	145.40127380588495	36.36363636363637	160307.0
C023_S21_L001_R2_001	94.70890229372392	35.0	145.35787582575932	36.36363636363637	160307.0
C026_S22_L001_R1_001	95.38373666956161	34.0	146.36587407772535	36.36363636363637	127809.0
C026_S22_L001_R2_001	93.76334999882637	34.0	146.34694739807057	36.36363636363637	127809.0
C027_S23_L001_R1_001	94.77632142937713	35.0	146.32058339161233	36.36363636363637	88654.0
C027_S23_L001_R2_001	93.84009745753153	35.0	146.30093396801047	36.36363636363637	88654.0
C028_S24_L001_R1_001	94.1405429450506	35.0	146.24774802604753	36.36363636363637	80929.0
C028_S24_L001_R2_001	92.99880141852735	35.0	146.19250206971543	36.36363636363637	80929.0
C029_S25_L001_R1_001	95.4523675888787	35.0	146.00142370189872	36.36363636363637	146098.0
C029_S25_L001_R2_001	94.35310544976659	35.0	145.97140960177416	36.36363636363637	146098.0
C030_S26_L001_R1_001	95.12999803033287	35.0	145.88227956142077	36.36363636363637	121848.0
C030_S26_L001_R2_001	93.67326505153963	35.0	145.93253069397937	36.36363636363637	121848.0
C031_S27_L001_R1_001	95.47220723151646	35.0	145.92998226813663	36.36363636363637	129710.0
C031_S27_L001_R2_001	94.38747976254722	35.0	145.8924678128132	36.36363636363637	129710.0
C032_S28_L001_R1_001	95.33937655634908	35.0	146.65201883644673	36.36363636363637	121679.0
C032_S28_L001_R2_001	93.83788492673345	35.0	146.61078739963347	36.36363636363637	121679.0
C033_S29_L001_R1_001	96.24240596320394	35.0	146.08184755913655	36.36363636363637	232090.0
C033_S29_L001_R2_001	95.26907665129906	35.0	146.02445602998836	36.36363636363637	232090.0
